# From the camb file : CAMB/camb/PRIMAT_Yp_DH_ErrorMC_2021.dat
# adapted to class : we keep only three columns:  ombh2       DeltaN          Yp  
# below is the full comment from the camb file. 
#
# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).
#
# Computation performed with PRIMAT (by Cyril Pitrou 2018-2021 http://www2.iap.fr/users/pitrou/primat.htm)
# Details on arXiv:1801.08023 and update arXiv:2011.11320
# Last update 16/02/2021 (notably including the LUNA rate for the d(p,g)He3 reaction)
#
# Neutron Decay rate $\tau_n$ is 879.4s (+-0.6s), following Particle Data Group 2020
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
# Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better. 
#
# Errors are computed with a Monte-Carlo method on nuclear rates and also on tau_n. 
# See PRIMAT paper (2018) for details. 
# 
#  ombh2       DeltaN          Yp        

52 25
5.000000000000000104e-03 -3.000000000000000000e+00 1.763409999999999977e-01
6.000000000000000125e-03 -3.000000000000000000e+00 1.788700000000000012e-01
7.000000000000000146e-03 -3.000000000000000000e+00 1.808369999999999977e-01
8.000000000000000167e-03 -3.000000000000000000e+00 1.824409999999999921e-01
8.999999999999999320e-03 -3.000000000000000000e+00 1.837920000000000109e-01
1.000000000000000021e-02 -3.000000000000000000e+00 1.849580000000000113e-01
1.099999999999999936e-02 -3.000000000000000000e+00 1.859840000000000104e-01
1.200000000000000025e-02 -3.000000000000000000e+00 1.868990000000000096e-01
1.299999999999999940e-02 -3.000000000000000000e+00 1.877250000000000030e-01
1.400000000000000029e-02 -3.000000000000000000e+00 1.884780000000000066e-01
1.499999999999999944e-02 -3.000000000000000000e+00 1.891690000000000038e-01
1.600000000000000033e-02 -3.000000000000000000e+00 1.898080000000000045e-01
1.700000000000000122e-02 -3.000000000000000000e+00 1.904029999999999889e-01
1.799999999999999864e-02 -3.000000000000000000e+00 1.909589999999999899e-01
1.899999999999999953e-02 -3.000000000000000000e+00 1.914800000000000113e-01
2.000000000000000042e-02 -3.000000000000000000e+00 1.919720000000000037e-01
2.019999999999999921e-02 -3.000000000000000000e+00 1.920669999999999877e-01
2.040000000000000147e-02 -3.000000000000000000e+00 1.921599999999999975e-01
2.060000000000000026e-02 -3.000000000000000000e+00 1.922530000000000072e-01
2.079999999999999905e-02 -3.000000000000000000e+00 1.923449999999999882e-01
2.100000000000000130e-02 -3.000000000000000000e+00 1.924359999999999959e-01
2.120000000000000009e-02 -3.000000000000000000e+00 1.925260000000000027e-01
2.139999999999999888e-02 -3.000000000000000000e+00 1.926150000000000084e-01
2.160000000000000114e-02 -3.000000000000000000e+00 1.927030000000000132e-01
2.179999999999999993e-02 -3.000000000000000000e+00 1.927899999999999892e-01
2.199999999999999872e-02 -3.000000000000000000e+00 1.928769999999999929e-01
2.220000000000000098e-02 -3.000000000000000000e+00 1.929619999999999946e-01
2.239999999999999977e-02 -3.000000000000000000e+00 1.930469999999999964e-01
2.259999999999999856e-02 -3.000000000000000000e+00 1.931299999999999961e-01
2.280000000000000082e-02 -3.000000000000000000e+00 1.932129999999999959e-01
2.299999999999999961e-02 -3.000000000000000000e+00 1.932959999999999956e-01
2.319999999999999840e-02 -3.000000000000000000e+00 1.933769999999999933e-01
2.340000000000000066e-02 -3.000000000000000000e+00 1.934579999999999911e-01
2.359999999999999945e-02 -3.000000000000000000e+00 1.935369999999999868e-01
2.380000000000000171e-02 -3.000000000000000000e+00 1.936160000000000103e-01
2.400000000000000050e-02 -3.000000000000000000e+00 1.936950000000000061e-01
2.500000000000000139e-02 -3.000000000000000000e+00 1.940759999999999985e-01
2.599999999999999881e-02 -3.000000000000000000e+00 1.944410000000000027e-01
2.699999999999999969e-02 -3.000000000000000000e+00 1.947909999999999919e-01
2.800000000000000058e-02 -3.000000000000000000e+00 1.951279999999999959e-01
2.900000000000000147e-02 -3.000000000000000000e+00 1.954510000000000136e-01
2.999999999999999889e-02 -3.000000000000000000e+00 1.957629999999999926e-01
3.099999999999999978e-02 -3.000000000000000000e+00 1.960639999999999883e-01
3.200000000000000067e-02 -3.000000000000000000e+00 1.963540000000000008e-01
3.300000000000000155e-02 -3.000000000000000000e+00 1.966350000000000042e-01
3.400000000000000244e-02 -3.000000000000000000e+00 1.969069999999999987e-01
3.500000000000000333e-02 -3.000000000000000000e+00 1.971710000000000129e-01
3.599999999999999728e-02 -3.000000000000000000e+00 1.974269999999999914e-01
3.699999999999999817e-02 -3.000000000000000000e+00 1.976749999999999896e-01
3.799999999999999906e-02 -3.000000000000000000e+00 1.979170000000000096e-01
3.899999999999999994e-02 -3.000000000000000000e+00 1.981509999999999938e-01
4.000000000000000083e-02 -3.000000000000000000e+00 1.983800000000000008e-01
5.000000000000000104e-03 -2.500000000000000000e+00 1.870320000000000038e-01
6.000000000000000125e-03 -2.500000000000000000e+00 1.896690000000000043e-01
7.000000000000000146e-03 -2.500000000000000000e+00 1.917069999999999885e-01
8.000000000000000167e-03 -2.500000000000000000e+00 1.933600000000000041e-01
8.999999999999999320e-03 -2.500000000000000000e+00 1.947470000000000034e-01
1.000000000000000021e-02 -2.500000000000000000e+00 1.959410000000000041e-01
1.099999999999999936e-02 -2.500000000000000000e+00 1.969879999999999964e-01
1.200000000000000025e-02 -2.500000000000000000e+00 1.979210000000000136e-01
1.299999999999999940e-02 -2.500000000000000000e+00 1.987609999999999932e-01
1.400000000000000029e-02 -2.500000000000000000e+00 1.995260000000000089e-01
1.499999999999999944e-02 -2.500000000000000000e+00 2.002269999999999883e-01
1.600000000000000033e-02 -2.500000000000000000e+00 2.008749999999999980e-01
1.700000000000000122e-02 -2.500000000000000000e+00 2.014769999999999894e-01
1.799999999999999864e-02 -2.500000000000000000e+00 2.020379999999999954e-01
1.899999999999999953e-02 -2.500000000000000000e+00 2.025659999999999961e-01
2.000000000000000042e-02 -2.500000000000000000e+00 2.030619999999999925e-01
2.019999999999999921e-02 -2.500000000000000000e+00 2.031580000000000052e-01
2.040000000000000147e-02 -2.500000000000000000e+00 2.032519999999999882e-01
2.060000000000000026e-02 -2.500000000000000000e+00 2.033459999999999990e-01
2.079999999999999905e-02 -2.500000000000000000e+00 2.034390000000000087e-01
2.100000000000000130e-02 -2.500000000000000000e+00 2.035309999999999897e-01
