#1:ell_eff 2:tSZ.     3:sigma	 4:best-fit
1.0000e+01 5.0496e-03 1.3919e-01 5.7234e-03
1.3500e+01 8.7080e-03 1.1643e-01 7.5606e-03
1.8000e+01 1.3430e-02 9.9155e-02 9.9280e-03
2.3500e+01 2.9325e-02 8.6276e-02 1.2834e-02
3.0500e+01 2.1520e-02 7.4827e-02 1.6544e-02
4.0000e+01 2.6605e-02 6.4972e-02 2.1591e-02
5.2500e+01 3.9626e-02 5.6584e-02 2.8250e-02
6.8500e+01 3.9820e-02 4.9513e-02 3.6721e-02
8.9500e+01 6.0241e-02 4.3516e-02 4.7775e-02
1.1700e+02 9.9878e-02 3.8669e-02 6.2081e-02
1.5250e+02 1.1375e-01 3.4993e-02 8.0185e-02
1.9800e+02 1.3429e-01 3.2630e-02 1.0271e-01
2.5750e+02 1.7920e-01 3.3977e-02 1.3093e-01
3.3550e+02 2.2076e-01 4.3272e-02 1.6575e-01
4.3650e+02 2.6166e-01 6.0483e-02 2.0728e-01
5.6750e+02 2.7879e-01 7.9377e-02 2.5553e-01
7.3800e+02 3.3226e-01 1.1034e-01 3.0982e-01
9.5950e+02 4.3979e-01 1.4774e-01 3.6810e-01
1.2475e+03 4.4024e-01 2.2208e-01 4.2699e-01
1.6220e+03 8.0990e-01 3.6015e-01 4.8154e-01
2.1090e+03 2.5122e+00 8.0231e-01 5.2553e-01
2.7420e+03 -1.0997e+01 3.3327e+01 5.5249e-01
