# [0]-l  [1]-gg_1h  [2]-gg_2h  [3]-gy_1h  [4]-gy_2h
6.000000000000000000e+00 1.124373813035921149e-06 1.650155520574206293e-04 1.153789580044840292e-12 3.008119944454529355e-11
7.000000000000000000e+00 1.123505759065158805e-06 1.723452766901470759e-04 1.088912629147336323e-12 3.063304043199601730e-11
8.000000000000000000e+00 1.122682884830364634e-06 1.768284456426011040e-04 1.034269147095351148e-12 3.080271617947916489e-11
9.000000000000000000e+00 1.121913013798818022e-06 1.789177294878169764e-04 9.879296889328596179e-13 3.065852485587618170e-11
1.000000000000000000e+01 1.121198078291007881e-06 1.790125801871099301e-04 9.483282947057418510e-13 3.026161931297135690e-11
1.100000000000000000e+01 1.120536605670841432e-06 1.774691558251709135e-04 9.142107531459163298e-13 2.966601720103448068e-11
1.200000000000000000e+01 1.119925349162633515e-06 1.746063249528321409e-04 8.845799331388010066e-13 2.891906229772921825e-11
1.300000000000000000e+01 1.119360291610763360e-06 1.707092476316745600e-04 8.586449169418263743e-13 2.806177882752049984e-11
1.400000000000000000e+01 1.118837229706202958e-06 1.660315774470397254e-04 8.357776459478431739e-13 2.712943617573548572e-11
1.500000000000000000e+01 1.118352091831525806e-06 1.607968794011439156e-04 8.154739439299763183e-13 2.615190853474737733e-11
1.600000000000000000e+01 1.117901094372130025e-06 1.551998004207773903e-04 7.973386812557242871e-13 2.515411538528621388e-11
1.700000000000000000e+01 1.117480804189812384e-06 1.494071872596258298e-04 7.810431272407260128e-13 2.415644770540234406e-11
1.800000000000000000e+01 1.117088148817297496e-06 1.435592542471423813e-04 7.663225658535600168e-13 2.317519560820734089e-11
1.900000000000000000e+01 1.116717753636766718e-06 1.377709185811593290e-04 7.529596425992608558e-13 2.222298040332348580e-11
2.100000000000000000e+01 1.116047902896366162e-06 1.267165713900115294e-04 7.296172278050361896e-13 2.044034073883741791e-11
2.200000000000000000e+01 1.115741617542532491e-06 1.215712217410509685e-04 7.193622250129103066e-13 1.962067915704846605e-11
2.300000000000000000e+01 1.115452134995509099e-06 1.167324889679850454e-04 7.099025388845003003e-13 1.885240418051249388e-11
2.500000000000000000e+01 1.114911212715529095e-06 1.080508317377567494e-04 6.930248191778773112e-13 1.747093936417917130e-11
2.700000000000000000e+01 1.114429110945723093e-06 1.007145563658175643e-04 6.783968355054551027e-13 1.628602699243846748e-11
2.800000000000000000e+01 1.114204817615814408e-06 9.752229449887745230e-05 6.717883593346779442e-13 1.576023612953383720e-11
3.000000000000000000e+01 1.113785566189114696e-06 9.197205248728531712e-05 6.597631264703282754e-13 1.482347672880066862e-11
3.200000000000000000e+01 1.113400783040729565e-06 8.733911016114746871e-05 6.490937991782364373e-13 1.401306529920761176e-11
3.400000000000000000e+01 1.113045778715972190e-06 8.338271797254859696e-05 6.395544078423395976e-13 1.329804131969606754e-11
3.700000000000000000e+01 1.112560804212672248e-06 7.823256159185604589e-05 6.269822522159014541e-13 1.234613222833014079e-11
3.900000000000000000e+01 1.112264647535261405e-06 7.505007705805262822e-05 6.195593132699686781e-13 1.176180178065083149e-11
4.200000000000000000e+01 1.111854859526906312e-06 7.032384143024943482e-05 6.095954652986542820e-13 1.092686983548382094e-11
4.400000000000000000e+01 1.111601626622767260e-06 6.710797152859571092e-05 6.036133065620245834e-13 1.038801372948767657e-11
4.700000000000000000e+01 1.111247442261738038e-06 6.216864237720953605e-05 5.954620284626457240e-13 9.602683204071099301e-12
5.000000000000000000e+01 1.110919835560921399e-06 5.720265096522966308e-05 5.881349641669660119e-13 8.851772437511698213e-12
5.300000000000000000e+01 1.110614854674397358e-06 5.240445851572886576e-05 5.814951861605271529e-13 8.148227873419192712e-12
5.700000000000000000e+01 1.110237845424849636e-06 4.659669405606655160e-05 5.735115350311755855e-13 7.304606195936686620e-12
6.100000000000000000e+01 1.109889019700654678e-06 4.172732184366534776e-05 5.663329728425951982e-13 6.582492144380484475e-12
6.500000000000000000e+01 1.109563356557693257e-06 3.785593378539190817e-05 5.597997816875689239e-13 5.979144988000177252e-12
6.900000000000000000e+01 1.109256800407541757e-06 3.483638728480012588e-05 5.537895802148829903e-13 5.477353459046752235e-12
7.300000000000000000e+01 1.108966039105077231e-06 3.241283706671109889e-05 5.482132093991641130e-13 5.053261634341346161e-12
