# Resolved yy-spectrum 
# Flags: (SNR>=6. & COSMO=T) 
# fsky=0.432395 ; effective_fsky=0.354189 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12   CIB             
#                                                                 (Gaussian)                    
 
9.00000000      11.00000000     10.00000000     0.00113310      0.00034510      0.01703470     
12.00000000     15.00000000     13.50000000     0.00121536      0.00028375      -0.00879430    
16.00000000     20.00000000     18.00000000     0.00239838      0.00042962      0.07218605     
21.00000000     26.00000000     23.50000000     0.00440195      0.00063279      0.03395093     
27.00000000     34.00000000     30.50000000     0.00686043      0.00075218      -0.05203938    
35.00000000     45.00000000     40.00000000     0.01131175      0.00092239      0.00560713     
46.00000000     59.00000000     52.50000000     0.01738681      0.00109849      0.12095423     
60.00000000     77.00000000     68.50000000     0.02669544      0.00129867      0.03142345     
78.00000000     101.00000000    89.50000000     0.03618474      0.00133683      0.07916101     
102.00000000    132.00000000    117.00000000    0.04429635      0.00126717      0.12192830     
133.00000000    172.00000000    152.50000000    0.05896214      0.00130325      0.19139193     
173.00000000    223.00000000    198.00000000    0.07379544      0.00127467      0.50914171     
224.00000000    291.00000000    257.50000000    0.08619588      0.00114282      0.38662343     
292.00000000    379.00000000    335.50000000    0.10259428      0.00106347      0.43411437     
380.00000000    493.00000000    436.50000000    0.11040761      0.00091043      0.56742800     
494.00000000    641.00000000    567.50000000    0.11293135      0.00076017      0.80309386     
642.00000000    834.00000000    738.00000000    0.11901282      0.00069623      1.20820516     
835.00000000    1084.00000000   959.50000000    0.12613979      0.00069793      1.97118490     
1085.00000000   1411.00000000   1248.00000000   0.15410947      0.00094473      6.28398864     
