# Total yy-spectrum 
# Flags: SNR>=0. & COSMO=F  
# fsky=0.432395 ; effective_fsky=0.354189 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12   CIB             
#                                                                 (Gaussian)                    
 
9.00000000      11.00000000     10.00000000     0.00470610      0.00270194      0.00720411     
12.00000000     15.00000000     13.50000000     0.00820735      0.00348114      0.00341549     
16.00000000     20.00000000     18.00000000     0.01251570      0.00446070      0.00402365     
21.00000000     26.00000000     23.50000000     0.02263488      0.00606085      0.00456855     
27.00000000     34.00000000     30.50000000     0.02937949      0.00516696      0.00695006     
35.00000000     45.00000000     40.00000000     0.02352293      0.00418622      0.01453380     
46.00000000     59.00000000     52.50000000     0.04633407      0.00448353      0.02303525     
60.00000000     77.00000000     68.50000000     0.05272084      0.00429581      0.04645121     
78.00000000     101.00000000    89.50000000     0.07133901      0.00444823      0.08372766     
102.00000000    132.00000000    117.00000000    0.11814820      0.00559657      0.12840377     
133.00000000    172.00000000    152.50000000    0.14979369      0.00591374      0.18156473     
173.00000000    223.00000000    198.00000000    0.19915644      0.00613562      0.25598843     
224.00000000    291.00000000    257.50000000    0.28737477      0.00702879      0.35012909     
292.00000000    379.00000000    335.50000000    0.40137028      0.00839367      0.44849412     
380.00000000    493.00000000    436.50000000    0.57156745      0.00977858      0.56742800     
494.00000000    641.00000000    567.50000000    0.78445055      0.01243539      0.78091027     
642.00000000    834.00000000    738.00000000    1.10239872      0.01641321      1.17566128     
835.00000000    1084.00000000   959.50000000    1.65879258      0.02396944      2.20062187     
1085.00000000   1411.00000000   1248.00000000   2.56030593      0.04199198      5.88663351     
