# Un-resolved yy-spectrum 
# Flags: COMPLEMENT(SNR>=6. & COSMO=T) 
# fsky=0.419418 ; effective_fsky=0.337949 
 
# lmin          lmax            ell_eff         Dlyy*1e12       err_Dlyy*1e12   CIB             
#                                                                 (Gaussian)                    
 
9.00000000      11.00000000     10.00000000     0.00397063      0.00249336      0.00704412     
12.00000000     15.00000000     13.50000000     0.00856713      0.00365637      0.00321160     
16.00000000     20.00000000     18.00000000     0.00952864      0.00405936      0.00431661     
21.00000000     26.00000000     23.50000000     0.01223236      0.00486947      0.00390564     
27.00000000     34.00000000     30.50000000     0.01701706      0.00395916      0.00750572     
35.00000000     45.00000000     40.00000000     0.00891820      0.00332577      0.01395843     
46.00000000     59.00000000     52.50000000     0.02238235      0.00317899      0.02291051     
60.00000000     77.00000000     68.50000000     0.02642783      0.00325729      0.04649658     
78.00000000     101.00000000    89.50000000     0.04589509      0.00366017      0.08171119     
102.00000000    132.00000000    117.00000000    0.06824323      0.00443150      0.12943542     
133.00000000    172.00000000    152.50000000    0.08691350      0.00480173      0.17983933     
173.00000000    223.00000000    198.00000000    0.12638392      0.00511706      0.25421573     
224.00000000    291.00000000    257.50000000    0.19794196      0.00612027      0.34585209     
292.00000000    379.00000000    335.50000000    0.29452090      0.00763019      0.44643266     
380.00000000    493.00000000    436.50000000    0.45277576      0.00917982      0.56742800     
494.00000000    641.00000000    567.50000000    0.66538128      0.01209717      0.77742296     
642.00000000    834.00000000    738.00000000    0.97849025      0.01633055      1.16696432     
835.00000000    1084.00000000   959.50000000    1.53937879      0.02412784      2.19184152     
1085.00000000   1411.00000000   1248.00000000   2.43620383      0.04279251      5.88787977     
