#0:l    1:l(l+1)C_l/(2pi) [muK^2]
       0.0000000       0.0000000
       1.0000000    0.0013124073
       2.0000000    0.0048587019
       4.0000000     0.012861568
       5.0000000     0.010242261
       6.0000000     0.031302771
       7.0000000     0.041281692
       8.0000000     0.035011281
       9.0000000     0.044172274
       10.000000     0.054899624
       12.000000     0.049582480
       15.000000     0.083593924
       20.000000     0.095142695
       30.000000      0.13639637
       40.000000      0.27255791
       50.000000      0.36797464
       60.000000      0.38532084
       70.000000      0.47934630
       80.000000      0.56909481
       100.00000      0.62643918
       120.00000      0.65513700
       150.00000      0.70680448
       200.00000      0.93879208
       300.00000       1.4350427
       400.00000       1.7471246
       500.00000       2.1741609
       600.00000       2.7174326
       700.00000       3.2999476
       800.00000       3.8677278
       900.00000       4.4107031
       1000.0000       4.9225649
       1500.0000       6.9385535
       2000.0000       8.4909538
       3000.0000       11.318792
       4000.0000       12.782191
       5116.3297       13.073267
       8506.1169       11.328006
       14141.564       8.2169811
       23510.370       5.9834558
       39085.804       5.1319733
       64979.620       6.5210227
